epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.729,1.84298,3.11964,4.16947,1.51077,0.12145,0.06938,0.03664,0.0141,0,0,0,0,2.45587,64.6239,3.60806,1.84194,0.0675593,0.000327684,0.000327684
2,243.675,1.48212,2.26232,1.3753,1.2489,0.17036,0.07958,0.05513,0.01918,0.14757,0.05981,0.03962,0.0077,2.42167,4.5152,10.2989,2.02048,0.034555,0.000656654,0.000656654
3,390.853,1.50706,2.16738,1.30953,1.27661,0.26305,0.1244,0.07767,0.03152,0.25799,0.12201,0.0737,0.02448,2.53135,4.13381,3.60749,2.04847,0.0015462,0.000981225,0.000981225
4,516.408,1.49642,2.15559,1.28598,1.26922,0.41587,0.0622,0.0642,0.02576,0.10999,0.09091,0.0355,0.01106,2.62932,3.95275,5.96117,2.07086,0.0009802,0.0009802,0.0009802
5,630.771,1.40012,2.04847,1.17336,1.18449,0.38249,0.15311,0.11717,0.04799,0.41267,0.16641,0.1214,0.04516,2.47728,3.18942,3.67204,1.80931,0.0009736,0.0009736,0.0009736
6,726.513,1.35028,1.95905,1.06343,1.17377,0.25902,0.09809,0.08462,0.03885,0.25129,0.09569,0.08434,0.03269,2.41863,3.41455,4.97214,1.84769,0.000967,0.000967,0.000967
7,821.104,1.38388,1.98897,1.06285,1.18083,0.37446,0.16469,0.14386,0.06515,0.29343,0.16029,0.1211,0.03679,2.23309,3.85345,2.96974,1.69535,0.0009604,0.0009604,0.0009604
8,934.762,1.36144,1.93944,1.03297,1.15343,0.37106,0.19617,0.17248,0.09221,0.36569,0.20574,0.17256,0.06899,2.2481,3.48808,2.92358,1.71484,0.0009538,0.0009538,0.0009538
9,1042.32,1.30455,1.89809,0.97941,1.14536,0.4394,0.19856,0.19542,0.09609,0.44805,0.20096,0.18504,0.06894,2.344,3.56156,2.72487,1.78186,0.0009472,0.0009472,0.0009472
10,1167.23,1.30479,1.87414,0.94919,1.14433,0.28632,0.1555,0.13819,0.05493,0.32237,0.14593,0.13169,0.04232,2.62419,3.67843,3.32358,2.05839,0.0009406,0.0009406,0.0009406
11,1285.63,1.2595,1.84433,0.92878,1.12992,0.38838,0.19856,0.1829,0.08923,0.39146,0.189,0.17668,0.07065,2.30785,3.4663,2.8609,1.75701,0.000934,0.000934,0.000934
12,1404.47,1.25285,1.82969,0.91571,1.12453,0.39124,0.1555,0.13745,0.05884,0.43262,0.1555,0.13388,0.0461,2.33337,3.53339,3.56785,1.88912,0.0009274,0.0009274,0.0009274
13,1517.12,1.20394,1.79438,0.84372,1.09472,0.27391,0.13636,0.10987,0.04469,0.2643,0.13158,0.10204,0.03108,2.51675,4.09975,2.97177,2.00567,0.0009208,0.0009208,0.0009208
14,1634.61,1.14917,1.80706,0.83245,1.07024,0.26794,0.15311,0.10631,0.04878,0.25112,0.15311,0.10209,0.03789,2.45916,3.34946,3.65641,1.8219,0.0009142,0.0009142,0.0009142
15,1752.7,1.16487,1.76772,0.84537,1.07033,0.46614,0.17703,0.17186,0.07875,0.46219,0.18182,0.17197,0.06062,2.46455,3.39644,3.07969,1.90037,0.0009076,0.0009076,0.0009076
16,1871.24,1.11739,1.76695,0.77683,1.05975,0.32777,0.18182,0.14728,0.06917,0.34191,0.17943,0.14756,0.04966,2.5801,3.60797,3.06843,2.05779,0.000901,0.000901,0.000901
17,1982.9,1.10533,1.71976,0.78036,1.04867,0.22725,0.15311,0.10274,0.04068,0.22341,0.15072,0.10168,0.03053,2.56056,3.48358,3.3655,1.92909,0.0008944,0.0008944,0.0008944
18,2080.39,1.13217,1.74019,0.79751,1.04024,0.4177,0.15789,0.15441,0.07801,0.41438,0.16507,0.16044,0.06109,2.38607,3.7853,3.21182,1.90575,0.0008878,0.0008878,0.0008878
19,2189.92,1.12842,1.73638,0.8262,1.04801,0.53255,0.19351,0.18998,0.09001,0.51538,0.19378,0.19067,0.07622,2.40188,3.34252,2.6146,1.87361,0.0008812,0.0008812,0.0008812
20,2332.12,1.04029,1.65996,0.70709,1.0154,0.21066,0.14115,0.0859,0.03507,0.20794,0.12679,0.07422,0.02179,2.40882,3.82441,3.42352,1.87878,0.0008746,0.0008746,0.0008746
21,2445.14,1.03344,1.64065,0.70202,1.00448,0.41063,0.18421,0.18664,0.08664,0.45346,0.16268,0.16925,0.05858,2.46783,3.40109,3.0358,1.92998,0.000868,0.000868,0.000868
22,2564.99,1.04785,1.65617,0.73709,1.02468,0.34803,0.13158,0.12581,0.05719,0.35436,0.13397,0.12372,0.04668,2.51572,3.67529,3.44222,1.95132,0.0008614,0.0008614,0.0008614
23,2682.44,1.02902,1.62699,0.70697,1.00494,0.48586,0.189,0.17442,0.08277,0.47757,0.18182,0.16927,0.06076,2.36196,3.34956,2.91563,1.84879,0.0008548,0.0008548,0.0008548
24,2802.06,1.02386,1.65364,0.70848,1.01497,0.36625,0.16507,0.155,0.06989,0.36307,0.15311,0.14689,0.04838,2.32419,3.52785,3.35324,1.86194,0.0008482,0.0008482,0.0008482
25,2915.36,0.99494,1.62929,0.65551,0.99138,0.37621,0.19139,0.16877,0.07537,0.43726,0.17943,0.16985,0.05587,2.32128,3.43921,2.77031,1.82605,0.0008416,0.0008416,0.0008416
26,3021.53,0.98057,1.58293,0.65103,0.98967,0.55427,0.13876,0.14426,0.07229,0.58912,0.14354,0.14811,0.05916,2.45237,3.50102,3.50124,1.9088,0.000835,0.000835,0.000835
27,3117.68,0.97611,1.62528,0.65397,0.98134,0.31582,0.15072,0.1399,0.06128,0.36373,0.16268,0.15236,0.05202,2.61265,3.6474,3.34445,2.03258,0.0008284,0.0008284,0.0008284
28,3229.05,0.96085,1.66122,0.64902,0.98253,0.4187,0.15789,0.15191,0.06946,0.44212,0.16268,0.15672,0.0576,2.74138,3.58461,3.54315,2.18857,0.0008218,0.0008218,0.0008218
29,3350.54,0.96666,1.61365,0.65801,0.98787,0.52899,0.17225,0.17193,0.07308,0.54519,0.17464,0.17382,0.06276,2.35623,3.18118,3.0867,1.72721,0.0008152,0.0008152,0.0008152
30,3474.2,0.93163,1.58313,0.63108,0.97007,0.44848,0.19378,0.18335,0.0848,0.4661,0.1866,0.1871,0.06509,2.47914,3.22781,2.86518,1.97156,0.0008086,0.0008086,0.0008086
31,3589.08,0.95028,1.61295,0.64854,0.98402,0.3623,0.16029,0.15055,0.07046,0.3884,0.16507,0.15566,0.06188,2.30156,3.50062,3.2387,1.83799,0.000802,0.000802,0.000802
32,3717.61,0.91286,1.5483,0.60394,0.96166,0.46346,0.17772,0.18684,0.09384,0.46346,0.17772,0.18164,0.075,2.29346,3.41572,2.96449,1.76978,0.0007954,0.0007954,0.0007954
33,3840.17,0.90973,1.5132,0.61117,0.9705,0.41825,0.16986,0.20539,0.0999,0.43806,0.16507,0.2071,0.07963,2.52335,3.63073,3.41047,1.97873,0.0007888,0.0007888,0.0007888
34,3945.52,0.90377,1.54897,0.60837,0.96979,0.32436,0.189,0.13369,0.05269,0.31969,0.18421,0.13573,0.0419,2.33643,3.27193,3.04977,1.86974,0.0007822,0.0007822,0.0007822
35,4041.74,0.91624,1.57847,0.59544,0.9673,0.47885,0.16268,0.16388,0.07487,0.47885,0.16268,0.16598,0.05436,2.46883,3.42153,2.89867,1.88745,0.0007756,0.0007756,0.0007756
36,4169.44,0.8935,1.56037,0.58905,0.95703,0.38088,0.15072,0.1445,0.0606,0.32358,0.17943,0.14448,0.05065,2.57236,3.61592,3.43995,1.94855,0.000769,0.000769,0.000769
37,4291.83,0.8762,1.50189,0.56881,0.95061,0.51975,0.17464,0.2036,0.10294,0.50977,0.17703,0.19724,0.07876,2.25665,3.69374,2.69031,1.79378,0.0007624,0.0007624,0.0007624
38,4429.25,0.90361,1.55067,0.59144,0.97775,0.37181,0.17225,0.15667,0.06998,0.35845,0.17225,0.14874,0.05126,2.61258,3.56559,3.25442,2.00893,0.0007558,0.0007558,0.0007558
39,4555.27,0.85942,1.51456,0.55909,0.94373,0.46928,0.16507,0.16477,0.07276,0.49164,0.16268,0.16104,0.06412,2.52138,3.57835,3.42203,1.9649,0.0007492,0.0007492,0.0007492
40,4663.89,0.85392,1.54605,0.57227,0.93958,0.36874,0.15093,0.14023,0.06322,0.36874,0.15093,0.13706,0.04767,2.31995,3.63706,3.24499,1.77762,0.0007426,0.0007426,0.0007426
41,4788.75,0.86123,1.50269,0.56347,0.94823,0.39223,0.2038,0.19391,0.08574,0.42807,0.20813,0.19238,0.06922,2.30434,3.347,2.84851,1.85547,0.000736,0.000736,0.000736
42,4874.64,0.85839,1.46986,0.5764,0.94385,0.44256,0.189,0.21,0.10328,0.43004,0.1866,0.19809,0.06997,2.33969,3.74663,3.04625,1.81532,0.0007294,0.0007294,0.0007294
43,4989.54,0.84498,1.46665,0.54992,0.94733,0.38561,0.17703,0.13656,0.05657,0.42033,0.16029,0.13417,0.04247,2.59732,3.6614,3.14509,2.07765,0.0007228,0.0007228,0.0007228
44,5107.5,0.87436,1.51015,0.56542,0.95029,0.58685,0.16986,0.18933,0.09021,0.53162,0.17225,0.18442,0.06287,2.17479,3.57389,2.86103,1.7809,0.0007162,0.0007162,0.0007162
45,5219.54,0.83071,1.50982,0.52993,0.94373,0.43244,0.1866,0.16958,0.0755,0.41198,0.16986,0.15347,0.05435,2.40487,3.6851,2.7547,1.87914,0.0007096,0.0007096,0.0007096
46,5313.21,0.79358,1.4769,0.53129,0.92243,0.43351,0.19223,0.20442,0.09032,0.45317,0.19856,0.20294,0.07187,2.43338,3.50999,3.21934,1.88507,0.000703,0.000703,0.000703
47,5437.78,0.8005,1.45723,0.54644,0.93698,0.33501,0.14101,0.11137,0.04222,0.30784,0.13087,0.10613,0.03374,2.70726,3.75155,3.49627,2.10622,0.0006964,0.0006964,0.0006964
48,5555.85,0.78425,1.44222,0.52143,0.91973,0.24994,0.1555,0.10686,0.05212,0.28515,0.16029,0.11222,0.03995,2.62936,3.63311,3.42895,2.05509,0.0006898,0.0006898,0.0006898
49,5666.67,0.78741,1.45771,0.51194,0.91175,0.35346,0.15564,0.13912,0.06107,0.39009,0.14115,0.1236,0.04225,2.39659,3.98224,3.10849,1.87829,0.0006832,0.0006832,0.0006832
50,5771.42,0.77023,1.42799,0.50905,0.9183,0.52895,0.16029,0.16622,0.08378,0.46269,0.16029,0.1625,0.06483,2.48357,3.45604,3.28058,1.98361,0.0006766,0.0006766,0.0006766
51,5885.83,0.78226,1.45813,0.52166,0.9173,0.41033,0.16746,0.1697,0.08379,0.39232,0.16507,0.16727,0.06402,2.4456,3.56914,3.166,1.86008,0.00067,0.00067,0.00067
52,6012.43,0.76551,1.41791,0.4788,0.91366,0.40885,0.16268,0.15257,0.07187,0.38912,0.1555,0.14895,0.05277,2.47066,3.60303,3.51339,1.92529,0.0006634,0.0006634,0.0006634
53,6120.21,0.72532,1.36527,0.50371,0.89544,0.37506,0.18182,0.14305,0.07643,0.40359,0.18132,0.14593,0.05953,2.19853,3.63577,3.51626,1.86108,0.0006568,0.0006568,0.0006568
54,6221.49,0.762,1.40559,0.50767,0.91779,0.3486,0.14833,0.1666,0.07284,0.37041,0.16029,0.16454,0.05953,2.51751,3.54618,3.31784,2.04593,0.0006502,0.0006502,0.0006502
55,6333.44,0.74439,1.39576,0.52968,0.90219,0.38435,0.16029,0.15508,0.05864,0.35399,0.14593,0.14046,0.04486,2.42692,3.80831,3.17351,1.92206,0.0006436,0.0006436,0.0006436
56,6443.61,0.78144,1.49752,0.5222,0.92785,0.44636,0.189,0.18397,0.09177,0.44033,0.17943,0.17989,0.06852,2.31274,3.6946,3.04505,1.79648,0.000637,0.000637,0.000637
57,6553.14,0.7464,1.40817,0.49034,0.91518,0.40174,0.18421,0.18766,0.09051,0.48639,0.17225,0.1892,0.06923,2.33233,3.5596,2.92966,1.87259,0.0006304,0.0006304,0.0006304
58,6657.09,0.75947,1.39883,0.49982,0.91444,0.41208,0.15789,0.16605,0.0802,0.45662,0.16029,0.16532,0.06619,2.4065,3.49701,3.44862,1.86874,0.0006238,0.0006238,0.0006238
59,6767.42,0.73084,1.41423,0.48587,0.90299,0.46983,0.16507,0.19476,0.09102,0.4443,0.16268,0.18204,0.07512,2.43941,3.73894,3.41439,1.91276,0.0006172,0.0006172,0.0006172
60,6883.85,0.73901,1.43184,0.49138,0.9092,0.40207,0.189,0.18072,0.08108,0.39215,0.17703,0.16815,0.05521,2.43059,4.14131,3.09237,1.91134,0.0006106,0.0006106,0.0006106
61,6997.58,0.7235,1.39688,0.48085,0.91093,0.25841,0.11722,0.08158,0.03225,0.24944,0.11483,0.07331,0.02282,2.7939,3.94397,3.84673,2.27617,0.000604,0.000604,0.000604
62,7093.79,0.75197,1.42978,0.49059,0.90596,0.3952,0.17943,0.18007,0.08441,0.40942,0.18244,0.17826,0.06532,2.40178,3.93509,3.06509,1.85967,0.0005974,0.0005974,0.0005974
63,7198.94,0.72304,1.42453,0.48662,0.90204,0.47557,0.14833,0.16272,0.06548,0.46617,0.14354,0.15405,0.05152,2.50211,3.73764,3.38626,2.00422,0.0005908,0.0005908,0.0005908
64,7313.08,0.70351,1.36841,0.45818,0.8974,0.40557,0.189,0.187,0.09277,0.41895,0.18802,0.18842,0.07079,2.45454,3.67004,3.50556,1.8966,0.0005842,0.0005842,0.0005842
65,7418.65,0.70392,1.37543,0.45696,0.88733,0.39981,0.19378,0.19159,0.08912,0.41073,0.18182,0.18114,0.06579,2.42706,3.60992,3.24103,1.89985,0.0005776,0.0005776,0.0005776
66,7528.1,0.70075,1.39973,0.46573,0.8973,0.3921,0.15789,0.16414,0.07379,0.39977,0.16268,0.16731,0.06072,2.4041,4.12355,3.20895,1.90322,0.000571,0.000571,0.000571
67,7641.68,0.69456,1.3852,0.46464,0.89751,0.41214,0.17703,0.16417,0.07348,0.47839,0.16895,0.1626,0.0613,2.33729,3.88427,3.25665,1.87585,0.0005644,0.0005644,0.0005644
68,7745.48,0.69783,1.34352,0.46004,0.89006,0.59339,0.16268,0.15958,0.07832,0.58076,0.15576,0.15498,0.06319,2.28839,3.67761,3.18809,1.77262,0.0005578,0.0005578,0.0005578
69,7853.51,0.71128,1.37094,0.4738,0.90352,0.40739,0.18749,0.18063,0.08994,0.37764,0.18182,0.16737,0.06352,2.3112,3.63301,2.9553,1.79845,0.0005512,0.0005512,0.0005512
70,7976.53,0.72194,1.38402,0.47283,0.90058,0.45171,0.16986,0.1807,0.09504,0.46676,0.16029,0.17237,0.07128,2.25679,3.60103,3.10436,1.7585,0.0005446,0.0005446,0.0005446
71,8096.38,0.69608,1.32968,0.45257,0.89336,0.39919,0.1828,0.18887,0.09579,0.39267,0.17225,0.17711,0.06645,2.3795,4.0098,3.27651,1.84917,0.000538,0.000538,0.000538
